content,score,text_processed,topic
Alur cerita mudah di pahami ringan asik di mainkan tapi terkadang disa logout sendiri jaringan normal,5,alur cerita mudah pahami ringan asyik mainkan kadang logout jaring normal,bahasa atau cerita
Yang bener aja baru download lalu mau main suruh update .. Taik,1,bener download main suruh update taik,bahasa atau cerita
:u kak.. Coba cari tahu beberapa jin dari luar negeri juga buat daftar Atma nya.. Soalnya kan kalau dilihat realitanya jin pendamping manusia ga khas indo aja heehe,5,u kak coba cari jin negeri daftar atma realitanya jin damping manusia tidak khas indonesia heehe,karya bangsa
"Disuruh update tpi udah yg terbaru, ini lagi maintenance atau gimana,oke thx udah clear masalah",5,update tpi maintenance gimana oke thx clear,koneksi
"Sangat apresiasi karna gameplay santai dan asik Sementara gua kasih bintang 3 karna = 1. Pengaturan grafik agar diberikan opsi//2. Skill animasi masih burik khususnya untuk tampilan karakternya puwecah//3. Untuk sound nya agar di perhalus lagi karna terdengar pecah parah pake banget Semoga dibaca dan segera di berikan update lagi. Maaf gua cuma bisa kritik gak bisa buat game ""Salut untuk developernya"" 👍",3,apresiasi gameplay santai asyik kasih bintang atur grafik opsi skill animasi burik tampilan puwecah sound perhalus pecah parah pake banget moga dibaca ikan update maaf kritik tidak salut,bahasa atau cerita
"Gamenya bagus banget!!└(՞▽՞ └) gk nyesel download nya (≧▽≦) yg jadi masalahnya tuh sering lag, sinyalku bagus loh main game lain enggak gelag tpi waktu main game ini ngelag, waktu baca komen ternyata aku enggak sendiri ternyata banyak yg kek saya ಡ ͜ ʖ ಡ",5,bagus banget tidak nyesel download lag sinyalku bagus loh main gelag tpi ngelag baca komen nyata tidak nyata kek,bahasa atau cerita
"Sebenarnya ini game udah bagus dan semuanya udah sempurna. Tapi ada kurangnya, yaitu mohon kepada developer nya, pergerakan atmanya diperbagus dan di bawah atmanya diberi alas. Satu lagi, kenapa saat aku buka compendium Atma bintang 4, 5 kok gak ada, yang ada cuma bintang 1, 2, 3 malah bintang 3 nya cuma separuhnya. Mohon diperbaiki, sekian dari saya dan terimakasih.",4,bagus sempurna kurangnya mohon developer gerak diperbagus alas buka compendium atma bintang tidak bintang bintang mohon diperbaiki kian,bahasa atau cerita
Tolong pertimbangkan untuk menambahkan fitur reset Atma pada game. Soalnya sayang banget kalau gold yang dipake buat upgrade susah payah ilang gitu aja kalau di retire🙏😆,5,tolong pertimbangkan fitur reset atma sayang banget gold dipake upgrade susah payah ilang retire,bahasa atau cerita
Good game. Terus tingkatkan kualitas game nya dev 💃💃,5,good tingkatkan kualitas dev,bahasa atau cerita
Kalo bisa grafiknya ditingkatkan lagi kaya game idle legend👍,4,ditingkatkan kaya idle legend,karya bangsa
"Best banget pokoknya, story sama Atma nya uwu uwu, grafiknya lumayan juga:D",5,best banget pokoknya story atma uwu uwu grafiknya lumbago,bahasa atau cerita
"Game nya udah bagus, gak susah juga. Tapi kadang klo lagi main tiba-tiba force close, tolong di benerin ya!^^",5,bagus tidak susah kadang main force close tolong benerin ya,perangkat hp
"Alur cerita ringan dan menarik untuk diikuti. Meski ada rasanya yg kurang tp itu bisa ditingkatkan. Gameplay nya sederhana, dapetin atma dengan gacha juga ga terlalu ""Ampas"" karena ratenya cukup tinggi. Namun untuk gameplay bisa ditingkatkan dengan sistem auto tau siapa yg bakal diserang jadi pasif skill bisa bener"" bermanfaat. Untuk gacha dengan tiket bisa dibikin yg +10 nya jadi ga buka 1 1. Semakin sukses kedepannya buat Code Atma, dan tingkatkan selalu 👍",5,alur cerita ringan tarik diikuti ditingkatkan gameplay sederhana atma gacha tidak ampas gameplay ditingkatkan sistem auto tau diserang pasif skill bener manfaat gacha tiket tidak buka sukses code atma tingkatkan,bahasa atau cerita
"buat game afk, code atma seru bgt karna ada story nya tpi kok manual game nya gbisa ya jdi cuma bisa auto",5,afk code atma seru bgt story tpi manual gbisa ya jdi auto,bahasa atau cerita
Ketika memainkan game ini rasa ingin memiki app code atma stonk,5,main memiki app code atma stonk,bahasa atau cerita
Update event dan fitur-fitur baru dong,5,update event fitur fitur,bahasa atau cerita
"Seru sih,cuma gila aja,ngelompat banget di chapter 20 akhir,bos 48m bp...pusing gua ngalahin nya",5,ngelompat banget chapter bos bp pusing ngalahin,karakter gacha
Game nya bagus..!!!!!!! Rekomendasi ni yang suka main game tapi suasana Indonesia pasti suka!!! Saran dari saya karakter nya kalo bisa si bikin 3d dan bahasa skillnya di perbaiki agar mudah di mengerti.. Selebihnya perfect..!!! 👍,5,bagus rekomendasi suka suasana indonesia suka saran karakter si bahasa perbaiki mudah erti perfect,bahasa atau cerita
"Gamenya bagus untuk mengisi waktu luang,main game + baca komik,semoga game nya makin berkembang biar bisa mengharumkan nama Indonesia",5,bagus isi luang baca komik moga kembang harum nama indonesia,bahasa atau cerita
"1.Suka gamenya mohon ditingkatkan! 2.Saat memainkannya lama terkadang hp jadi lambat lalu tidak bisa disentuh sama sekali ,kenapa ya? 3.Semoga setelah update dapat perbaikan dan kemajuan",5,suka mohon ditingkatkan kadang hp lambat tidak disentuh moga update maju,bahasa atau cerita
Asik geme ya kalo bisa tambahin onlai dong geme ini cocok di main kan waktu lagi mod atau Busan seruuu de,5,asyik geme ya onlai geme cocok main mod busan seruuu de,bahasa atau cerita
"Keren, gamenya secara keseluruhun menurut saya bagus. Apabila ada pengaturan grafik akan lebih bagus dan bisa costum karakter makin bagus hehe.",5,keren keseluruhun bagus atur grafik bagus costum karakter bagus hehe,bahasa atau cerita
Wah game nya bagus parah. Mantap lah klo bisa tambahin atma nya lagi min.,5,bagus parah atma min,bahasa atau cerita
Game kamvret. Gagal menghubungkan terus. Padahal main game lain lancar pas main game ini coba periksa koneksi.? Yg ada Periksa masalah bug kamvret,1,kamvret gagal hubung lancar pas coba periksa koneksi periksa bug kamvret,koneksi
JAYA TERUSSS GAME BUATAN ANAK BANGSA,5,jaya terusss anak bangsa,karya bangsa
"Sulit login, di klik login tidak ada respon dari game",1,sulit login klik login tidak respons,koneksi
"Game bagus, dengan grafik yg baik, alur cerita juga menarik,,",5,bagus grafik alur cerita tarik,bahasa atau cerita
Apakah game ini ada komik nya? Kalo gak ada tolong di buat kan ya karna bagus story nya,5,komik tidak tolong ya bagus story,bahasa atau cerita
Game yang kayak gini aja udah keren banget.. selanjutnya di buat jadi / bikin game baru mmorpg dong mint.. biar makin seru + banyak peminat -',5,gini keren banget mmorpg mint biar seru minat,karakter gacha
Keren!!! Hero nya unik unik,5,keren hero unik unik,bahasa atau cerita
"Grafisnya lumayan bagus, reward yg di terima per capter juga lumayan, semoga bisa bertahan atau bahkan di kembangkan lagi menjadi duel antar pemain...",5,lumbago bagus reward terima capter lumbago moga tahan kembangkan duel main,bahasa atau cerita
"Bagus banget, tolong tambahin urban legend lainnya kayak pastur kepala buntung terus sama yang lain, tingkatkan terus AGATE 😉😉",5,bagus banget tolong urban legend pastor kepala buntung tingkatkan agate,karya bangsa
Tambah terus heronya dn perbagus lagi efek skillnya,5,heronya dn perbagus efek,bahasa atau cerita
"Game nya bagus cuman kok tokoh utama nya gk ganti ekspresi? Padahal tokoh lainnya ganti-ganti. *Usul: ekspresi tokoh utama nya jangan itu aja😊👍 *Edit: di event ada kuyang bintang 5 OP lagi tpi kok di Kompendium gak ada, gak bisa dikalahin lagi. Mohon penjelasan nya.",5,bagus cuman tokoh utama tidak ganti ekspresi tokoh ganti ganti usul ekspresi tokoh utama edit event kuyang bintang op tpi kompendium tidak tidak dikalahin mohon,bahasa atau cerita
Keren banget game nya dan menarik alur cerita nya dan bagus atma sukses terus,5,keren banget tarik alur cerita bagus atma sukses,bahasa atau cerita
"Sebenarnya for all sudah bagus,dari cerita fitur dan character,tapi masalahnya malah ditempat yang fatal yaitu jaringannya. Saya setiap maingame sebelah (afk...) selalu bagus nga ada masalah. Tapi kalo main code atma selalu mengalami error. Bahkan buffering yang sangat lama. Tolong diperbaiki untuk masalah jaringannya",3,bagus cerita fitur character ditempat fatal maingame belah afk bagus nga code atma alam error buffering tolong diperbaiki,bahasa atau cerita
Grafiknya UP dong minimal kayak game sebelah SUMMONER ERA,4,minimal belah summoner era,karya bangsa
Semangat ya developer Untuk lebih mengembangin nih game Game nya mantep banget Story nya juga bagus . . . . . . . Gak download nyesel Sumpah nyesel😁 Sran nih....untuk developer..... Si Noni Damage nya tambahin dikit lah thor :v wkwkwkwkwkwk,5,semangat ya developer mengembangin mantep banget story bagus tidak download nyesel sumpah nyesel sran developer si noni damage dikit thor v wkwkwkwkwkwk,bahasa atau cerita
"Gamenya bagus,niatnya pas download cuma pengen support karena game bikinan Indonesia tapi ternyata enak buat dimainin saat santai,sedikit saran dari saya untuk update selanjutnya karakter ditambah hantu di Indonesia kan masih banyak jenisnya dan pergerakan karakternya diperbaiki agar lebih luwes terutama saat mengeluarkan skill Semangat terus!!!",4,bagus pas download pengen support bikin indonesia nyata enak dimainin santai saran update karakter ditambah hantu indonesia jenisnya gerak diperbaiki luwes utama skill semangat,bahasa atau cerita
Collab sama anime dong. Tapi gratis heronya.... Pasti rame deh👍,5,collab anime gratis ramai deh,karya bangsa
"Min kalo bisa waktu pake skill ditambahin animasi sama efek, soalnya waktu kita ngeskill masih keliatan kaku dan gak enak dilihat",5,min pake skill ditambahin animasi efek ngeskill keliatan kaku tidak enak,bahasa atau cerita
"Dari segi cerita menarik, gameplaynya juga seru. Rekomended",5,segi tarik seru rekomended,bahasa atau cerita
"Alur ceritanya ntaps bet, fight ny juga seru, mungkin jika dibuat komik atau film/anime pasti seru",5,alur ntaps bet fight ny seru komik film anime seru,bahasa atau cerita
"Mantap, terus kembangkan game nya, kalo bisa sediakan fitur ngembaliin heronya ke lv 1 lagi, biar materialnya bisa dipake",5,kembangkan sediakan fitur ngembaliin lv biar dipake,bahasa atau cerita
"Mantap nih game. Konsepnya mirip Afk arena sm 7Knight. Sbg free player sy gak ada komplain. Coz klo mau bandingin sm 2 game itu dh hampir sm. Perolehan diamond dr campaign dll sm kebutuhan gacha imbang lah. Variable peluang dapetin hero tinggi jg mirip kyk Afk Arena sm 7Knight. Event-nya ja blm sebanyak 2 game tsb. Cm klo mw brkiblat 2 game itu, 7Knight per login harian ksh hero free (lvl low) buat ascend hero. Afk arena gak ksh hero free, tp buat ascend gak butuh banyak hero. Kyk gt aj dev.",5,konsepnya afk arena sm 7knight sbg free player tidak komplain coz bandingin sm dh sm diamond campaign dll sm butuh gacha imbang variable luang hero kyk afk arena sm 7knight event ja blm tsb cm mw brkiblat login ksh hero free lvl low ascend hero afk arena tidak ksh hero free ascend tidak butuh hero kyk gt aj dev,bahasa atau cerita
Nice game tinggal tambahin fitur teman dan google play account,5,nice tinggal fitur teman google play account,bahasa atau cerita
Keren jalan cerita nya.. indonesia banget..,5,keren jalan cerita indonesia banget,bahasa atau cerita
"Gamenya KerenZ and Seru, Ditunggu Chapter and Story Slanjutnya di Update Brikutnya.. Ga Sabar, dengan kelanjutannya 😁👍",4,kerenz seru ditunggu chapter story update tidak sabar,bahasa atau cerita
Game nya bagus.. tapi untuk masuk ke game nya sinyal bagus saja tidak cukup.. tapi harus sangat bagus.. developer paham kan maksudnya.. jadi tolong di perbaiki agar player semakin memiliki pengalaman bermain yang bagus..,4,bagus masuk sinyal bagus tidak bagus developer paham tolong perbaiki player milik alam main bagus,bahasa atau cerita
"Karya Anak Bangsa yang perlu disupport ini Mulai dari Main characternya,Character Characternya,Gameplaynya udah gak diragukan lagi sih keren parah,yang saya suka sama game ini itu 1.Pak polisinya Gak kalah keren sama Pak polisi Aslinya. 2.Nama chara Atmanya keren abis Mulai dari Nama siluman Sama Urban Legend Indonesia. 3.Kalau mau Diamond Gak Perlu Top up,Dapet Gold juga Gampang cuma harus Login sama Mainin Gamenya doang INTINYA GAME INI ITU KEREN PARAH",5,karya anak bangsa disupport main characternya character tidak diragukan keren parah suka tidak kalah keren polisi nama chara atmanya keren abis nama siluman urban legend indonesia diamond tidak top gold gampang mainin doang intinya keren parah,karya bangsa
Mohon ditambahkan fitur sortir jadi bisa mengurutkan atma dari stat terkuat sampai terlemah terima kasih,5,mohon fitur sortir urut atma stat terkuat terlemah terima,bahasa atau cerita
"Keseluruhan gamenya udah bagus. Cuma char / atma aja yg kurang banyak, apalagi yang bintang 5",5,bagus char atma bintang,bahasa atau cerita
"mantap tolong mudahkan dapat atma bintang 5,seru mainnya.",5,tolong mudahkan atma bintang seru,bahasa atau cerita
"Mo nanya, ini offline apa online ya,,,",5,mo nanya offline online,karakter gacha
"Tambahin fitur clan/guild/club apa gitu kek, chat global, sepi bener kagak bisa pamer atma B5 :v",5,fitur clan guild club kek chat global sepi bener kagak pamer atma,karakter gacha
"Gak ada ada nya cuma "" This email is registered already """,1,tidak email registered already,koneksi
Ini game seru banget sumpah gue pikir bakal biasa aja ehh ternyata saat main game ini langsung ketagihan sumpah baru kali ini ketemu game yang kayak gini.,5,seru banget sumpah pikir ehh nyata tagih sumpah kali ketemu kayak,bahasa atau cerita
Game yg patut di lestarikan Tingkatkan terus developer dijamin kalo di tingkatin bakal rame,5,patut lestarikan tingkatkan developer dijamin tingkatin ramai,karya bangsa
"Seru, gravik ok, beda lah dengan game luar, ini baru game keren mengambil tema para atma indonesia. Semngat terus kreasinya dan tingkatkan... Tapi tolong dong bisa kasih mode jual atma gitu, biar gak numpuk atma yang gak kepakai",5,seru gravik oke beda keren ambil tema atma indonesia semngat kreasinya tingkatkan tolong kasih mode jual atma biar tidak numpuk atma tidak kepakai,bahasa atau cerita
Gamenya bagus banget ! Jaya game lokal indonesia! Jujur ini game nya bagus banget dan ada kemiripan ya sama game sebelah Tapi kenapa agak ngeleg ya di hp OPPO 3S padahal saat saya main free fire ngak ngeleg. Ini gimana ya ? Tolong kasih solusi dong developer makasih,5,bagus banget jaya lokal indonesia jujur bagus banget ya belah ngeleg ya hp oppo main free fire ngak ngeleg gimana ya tolong kasih solusi developer,bahasa atau cerita
Disini ada Atma ada Riski Riski ngentot ini karena Lo itu kontol ya emang emang kontol itu ini anjing,1,atma riski ngentot lo kontol ya emang emang kontol,bahasa atau cerita
Game nya bagus banget GK rugi gw download ini game the best lah 😁,5,bagus banget tidak rugi download best,karakter gacha
Game nya sangat bagus kalau saja ada bintang seratus akan saya berikan😆,5,bagus bintang ratus ikan,bahasa atau cerita
"Gamenya mantap, characternya bagus, gacha juga mudah dapet character bagus, semoga aja fitur friends segera ada",5,bagus gacha mudah character bagus moga fitur friends,bahasa atau cerita
suka banget dengan heronya..indonesia,5,suka banget heronya indonesia,bahasa atau cerita
"Alur ceritanya sangat menarik jadi seru pas mainnya, kita juga di buat berspekulasi tentang apa yang akan terjadi selanjutnya. Cocok buat player FTP nggak harus keluar uang buat gacha terus karena rate gacha nya nggak kecil. Mantap lah game ini",5,alur tarik seru pas spekulasi cocok player ftp tidak uang gacha rate gacha tidak,bahasa atau cerita
Gila bagus banget sumpah!!! Dari grafik efek sama atmanya bagus bagus!!! SAYA DUKUNG TERUS GAME INDONESIA!!!!!! I like game indonesia!!,5,bagus banget sumpah grafik efek bagus bagus dukung indonesia like indonesia,bahasa atau cerita
"Jaringannya lemot parah, buka iklan aja gabisa login juga parah, padahal pake Indi/by.u (satu jaringan sama Telkom)",1,lemot parah buka iklan gabisa login parah pake indi u jaring telkom,koneksi
Gamenya mantap kali bah..tapi bisa tolong di perbaiki lagi nggak animasi untuk serangan dari atma lainnya soalnya menurut saya animasi serangan Atma lain masih kurang bagus tapi kalau untuk Rahwana sama sandekala udah cocok😁😁😁😁👍👍👍👍👍,5,mantap kali bah tolong perbaiki tidak animasi serang atma animasi serang atma bagus rahwana sandekala cocok,bahasa atau cerita
"Seru banget game nya,, upgrade nya pun mudah, semoga lebih banyak lagi game"" Seperti ini 👍👍",5,seru banget upgrade mudah,bahasa atau cerita
"dari story nya sih bagus, tapi kalo bisa model tampilan RPG nya disamain kaya saint seiya awakening kalo ga 7ds biar makin ajib",4,story bagus model tampilan rpg disamain kaya saint seiya awakening tidak ajib,bahasa atau cerita
Gamenya bagus sayang masih suka force close,4,bagus sayang suka force close,perangkat hp
"Sebetulnya seru .. Nyenengin bgtt tapi pas aq keluar trus coba masuk lagi loadingnya lama bgtt setelah masuk sumpah gerakannya lama bgtttt etdah udh dtunggu"" 2 jam lbih loh kga bisa"" tolong dong perbaiki lgi sinyal full loh",1,seru nyenengin bgtt pas aq coba masuk bgtt masuk sumpah bgtttt dtunggu jam loh kga tolong perbaiki lgi sinyal full loh,koneksi
"Storynya bagus, cerita dan musiknya 100 lah, gameplay nya juga ok, tpi masih byk fitur yg kurang, contohnya refund exp dan gold, misal ada atma yg terlanjur di naikan levelny tapi tidak terpakai, harusnya ada fitur untuk mengambil kembali exp dan goldnya entah itu bayar dgn gold ataupun dipotong setengah. Dan sistem serangan efektif dan not efektif, biar elemennya ga cuma pajangan",4,bagus cerita gameplay oke tpi byk fitur refund exp gold atma telanjur naikan levelny tidak pakai fitur ambil exp goldnya bayar gold dipotong sistem serang efektif efektif elemennya tidak pajang,bahasa atau cerita
SMT + Destiny Child rasa INDONESIA,5,smt destiny child indonesia,karya bangsa
Hikd- pen nangis rasany... GAMENY COOL BGT WOEEEE😭🍿 !!,5,hikd pen nangis rasany gameny cool bgt woeeee,karakter gacha
"Ceritanya oke banget, meskipun aku blm tamat si wkwkw, tapi feelnya dpt bgt, terbaik laaah pokoknya",5,oke banget blm tamat si wkwkw dpt bgt laaah,karakter gacha
Gamenya bagus sih dan ringan 😄 Cuma sedikit saran klau bisa sih saat battle bisa dipilih musuhnya Mungkin bakalan lebih mantep 😄,5,bagus ringan saran battle dipilih mantep,bahasa atau cerita
"Keren bgt gamenya buatan org Indonesia lagi, keren bgt aku suka 😆😆 Untuk saat ini masih blm ada saran, cuka mau bilang terima kasih sama developer yg udah buat game ini, semangat terus ngembanginnya :)",5,keren bgt gamenya org indonesia keren bgt suka blm saran cuka bilang kasih developer semangat,bahasa atau cerita
"Game yang penuh kearifan lokal👍👍 Tidak membosankan.. Kritik: kenapa hero tertinggi kita bisa kalah dengan hero yang levelnya dibawah kita, tolong dimudahin ya😁😁 Saran: sesekali di collect peti ditambahin free atma donk😁😁 biar ga harus pake diamond terus😁😁🙏🙏",5,penuh arif lokal tidak bosan kritik hero kalah hero dibawah tolong dimudahin ya saran collect peti ditambahin free atma donk biar tidak pake diamond,bahasa atau cerita
"usul kalau bisa ada fitur reset level atma, tadi saya gacha dan hoki dapat bintang 5 .terus atma bintang 4 sekarang udah level 60++ lah mau ngumpulin idle exp nya harus nunggu sayangkan..misalkan saya reset level atma yang level sekian terus pakai diamondkan lalu kalau atma yang lvl 60 direset maka exp dan gold buat upgrade tersebut balik modal ke kita agar bisa upgrade atma yang baru jadi ngak mubazir sama gold and exp...usul sih soalnya sering main idle seperti ini",5,usul fitur reset level atma gacha hoki bintang atma bintang level ngumpulin idle exp nunggu sayang reset level atma level kian pakai diamondkan atma lvl direset exp gold upgrade modal upgrade atma ngak mubazir gold exp usul main idle,bahasa atau cerita
"Wou masih tutorial ga bisa nekan apa selain yang udah di program malah kalah sama Ai, hebat benar game nya sama kayak telkomnyet, sama2 gajelas",1,wou tutorial tidak nekan program kalah ai hebat telkomnyet gajelas,perangkat hp
Napa setiap mau bind account gagal terus ya. Ga cuma gmail. FB juga. Perbaiki ya tolong.,2,bind account gagal ya tidak gmail fb perbaiki ya tolong,koneksi
Bagus .. tambahin dong heronya kn banyk urbanlegen diindo .. tambahin fitur tuker Hero atau jual Hero lah menuh2 slot aja,5,bagus kn banyk urbanlegen diindo fitur tuker hero jual hero slot,bahasa atau cerita
"Gua kasih bintang 3 aja dulu. Gamenya lumayan bagus, grafiknya battlenya juga serta characternya juga lumayan sih hingga setiap pemain beragam atmanya masing² dan gak pelit kasih diamond ketika daily log in. Saran dari gua. 1. Kalo tiket dah ngumpul 10 buah, harusnya gachanya yang 10+1 itu gak perlu pakai diamond lagi, dan cukup pakai tiket 10 buah. 2. Tantangannya mesti ngotak lah, masa power lawan di stage champaig tower dan labyrint gak ngotak powernya. 3. Dapetin goldnya juga dipermudah.",3,kasih bintang gamenya lumbago bagus lumbago main ragam tidak pelit kasih diamond daily log saran tiket dah ngumpul gachanya tidak pakai diamond pakai tiket ngotak power lawan stage champaig tower labyrint tidak ngotak dipermudah,bahasa atau cerita
"Seru banget, meski gw kadang stuck di beberapa level",5,seru banget kadang stuck level,bahasa atau cerita
Gamenya keren banget sih tapi kenapa lag banget malah lebih lag dari game one punch man padahal ukuran game one punch man sampe 2gb tolong optimalkan dong,5,keren banget banget lag one punch man ukur one punch man sampe tolong optimalkan,karakter gacha
Gamenya simpel tapi seru ceritanya juga bagus. The best lah buat developer :),5,simpel seru bagus best developer,karya bangsa
Awal main dapet diamond 5k pas gacha bintang 3 semua auto hapus Game kwkwkwkkw,3,main diamond pas gacha bintang auto hapus kwkwkwkkw,bahasa atau cerita
Overall keren sih gamenya Lebih keren lagi kalau gamenya dibikin landscape Itu aja sih 👍,5,overall keren keren dibikin landscape,bahasa atau cerita
"Sampurasun, semangat buat kalian Agate, di tunggu karya karya lain nya gaes ✌️",5,sampurasun semangat agate tunggu karya karya gaes,karya bangsa
Ange min:v tapi ko diapus ulasan ku:v,5,ange min v ko diapus ulas v,bahasa atau cerita
Game Indonesia yg bagus Dari gameplay nya Chara nya juga keren2 dan imut2 Yg kurang dari game ini cuman update story nya yg lama Padahal seru story nya cuman masih stuck di chapter 6,4,indonesia bagus gameplay chara cuman update story seru story cuman stuck chapter,bahasa atau cerita
"Grafiknya bagus,engga kalah sama game game buatan luar, cuma kadang agak lag selebihnya bagus, tingkatkan lagi ya :))))))",5,bagus kalah kadang lag bagus tingkatkan ya,bahasa atau cerita
"Game nya seru + BANGET untuk game turn base(card), mungkin saya cuman mau bilang, semangat kak meningkatkan grafis nya aja karena udh bagus banget desain charakter-nya.",5,seru banget turn base card cuman bilang semangat kak tingkat grafis bagus banget charakter,karya bangsa
Males Ngomen Bisanya Cuma Nambah Rating Doang Gamenya Bagus Kok,5,males ngomen nambah rating doang bagus,koneksi
"Bagus dh, klo bind akun d permudah bintang ny gw tmbah !",4,bagus dh bind akun permudah bintang ny tmbah,koneksi
Keren sih.. Unik.. jadi penasaran buat masuk.. pas udh masuk emang keren gamenya.. taruh iklan yang banyak buat bdapet diamond jg gpp kok.. hehhhe,5,keren unik penasaran masuk pas masuk emang keren taruh iklan bdapet diamond gpp hehhhe,bahasa atau cerita
Secara keseluruhan sudah ok termasuk alur cerita dan grafik tapi sedikit masukkan aja tolong perbaiki jaringannya karena suka lost server,5,oke masuk alur cerita grafik masukkan tolong perbaiki jaring suka lost server,bahasa atau cerita
Kak aku mo nanya nih aku baru main sih nanti bintang nya aku tambah kalo sesuai ekspektasi tapi liat dari koment sama gambar gambar nya aku teringat komik ndw apa benar game ini terinspirasi dari komik trsebut cuma nanya aja sih karena itu komik favorite saya hhee,5,kak mo bintang suai ekspektasi liat koment gambar gambar komik ndw inspirasi komik trsebut nanya komik favorite hhee,bahasa atau cerita
"Secara keseluruhan udah bagus, mungkin tinggal tambah"" atma yang banyak (hehe). Oh iyaa kalo untuk Ultinya atau skillnya kalo bisa tambahin efek atau cutscene yang lebih memukau, mungkin jadi tambah luar biasa makin bagus lah dan peningkatan grafis lainnya. Yaa saya tau mungkin sulit tapi semoga pihak developer bisa mempertimbangkan saran saya dan pokoknya semangat! Maju terus! Terus berkembang! jangan pelit-pelit yak hehe :D",5,bagus tinggal atma hehe oh iyaa skillnya efek cutscene pukau bagus tingkat grafis yaa tau sulit moga developer timbang saran semangat maju kembang pelit pelit yak hehe,bahasa atau cerita
"Mantap, alur ceritanya seru Mungkin tinggal tingkatkan tampilan dan tambah lagi Atma""nya juga update terus buat event""nya Sukses terus buat dev!!",5,mantap alur seru tinggal tingkatkan tampilan atma update event sukses dev,bahasa atau cerita
Gua suka game ini tapi tutorial terlalu lama coba dipersingkat dan juga tambahkan fitur pembelian gold bisa dibayar melalui diamond & kenapa gambar aplikasinya tidak mirip yang ada diplaystore.,4,suka tutorial coba dipersingkat tambahkan fitur beli gold dibayar diamond gambar tidak diplaystore,bahasa atau cerita
"Seriusan! Gameplay nya udah keren tapi musik loby sama musik arena nya sama. Coba deh musik tiap arena nya beda-beda. Itu aja, yang lainnya udah pada keren.",5,seriusan gameplay keren musik loby musik coba musik arena beda beda keren,bahasa atau cerita
"Saya suka game ini, terutama untuk cerita dan musiknya bagus banget. Satu aja yg menurut saya agak mengganggu, gak ada fitur buat sortir atmanya, kadang kalau pas lagi atur formasinya rada bingung, karena atma tipe api, air, tanah dll kecampur.",5,suka utama cerita bagus banget ganggu tidak fitur sortir kadang pas atur bingung atma tipe api air tanah dll kecampur,bahasa atau cerita
Ayo agate buat cerita lebih menarik,5,ayo agate cerita tarik,bahasa atau cerita
Oyyy kmpang yanggg buat pemainnan iniii kmpnggg tau dak,1,oyyy kmpang yanggg pemainnan iniii kmpnggg tau dak,bahasa atau cerita
Keren gamenya cuman tambahin lagi episodenya sama event yg bagus,5,keren gamenya cuman event bagus,bahasa atau cerita
Padahal kisahnya sedih dan game ini bagus tapi sayangnya apk sering for close saat bermain,2,sedih bagus apk close main,koneksi
Kok gak bis masuk aku suka sama Game game kyk nge gacha idle Rpg tapi kok gak bisa masuk,2,tidak bus masuk suka kyk nge gacha idle rpg tidak masuk,karya bangsa
"Bagus banget gamenya (☆▽☆), apalagi alur ceritanya yang menegangkan..yah walaupun digantung buat lanjutin pertarungannya. Oh iya lupa kenalan, salken aku seeker pemula namaku Riki (aing cewek), dan aku menantikan cerita selanjutnya di code atma ini, semoga cerita kedepannya bakalan lebih seru dan menegangkan! Semangat kakak² developer yang buat game ini!! •`∆‘•)9 ganbatte!",5,bagus banget gamenya alur ceritanya tegang yah digantung lanjutin oh iya lupa kenal salken seeker namaku riki aing cewek cerita code atma cerita kedepannya seru tegang semangat kakak developer ganbatte,bahasa atau cerita
Saya kasih bintang 5 deh buat game ini karena sudah membuat saya penasaran dengan cerita nya makadari itu saya mainkan game ini terus karena seru dan cerita bikin penasaran pokok e jos Omong ² saya sudah level 8 dalam 2 hari😁,5,bintang deh penasaran cerita makadari mainkan seru cerita penasaran pokok e jos omong level,bahasa atau cerita
Ok lah grafik ok .. tidak bikin pusing ..,5,oke grafik oke tidak pusing,bahasa atau cerita
Cerita nya asik kayak di anime anime,5,cerita asyik kayak anime anime,bahasa atau cerita
"baru selesai download,apapun itu kalau buatan indonesia dan positif gua dukung,semangat para dev dan lainnya,bisa go internasional nih bbrp bulan lagi,aamiin❤",5,selesai download indonesia positif dukung semangat dev go internasional bbrp aamiin,karya bangsa
"Game yang sangat keren, ceritanya bagus dan desain karakter yang keren-keren untuk sejenis game idle (menurut saya)",5,keren bagus karakter keren keren jenis idle,karya bangsa
"Bagus kok, tapi ada yang ganjal kaya ada kemiripan ama komik Indonesia droid war sebenernya malah tambah seru sih wkwkkw",5,bagus ganjal kaya komik indonesia droid war seru wkwkkw,bahasa atau cerita
Gue main kaga bisa login dan keluar Mulu.,3,main kaga login mulu,koneksi
"Woah....menurut aku juga game ini bagus banget,aku suka ama characters nya bagus 2 lekat ama budaya Indonesia,keep spirit buat bikin this game dan keep updating tros ya😊",5,woah bagus banget suka characters bagus lekat budaya indonesia keep spirit keep updating tros,karya bangsa
GG cuman itu gak ada suara Hero nya aku penasaran suara pocong kalau pake skill gimana😂 Semua game idle yg perna ku mainkan suaranya imut2 semua...,3,gg cuman tidak suara hero penasaran suara pocong pake skill gimana idle perna mainkan,bahasa atau cerita
"Tanggapannya cepet, setelah update mainnya jadi enakan... Sukses buat developer",5,cepat update enakan sukses developer,bahasa atau cerita
